date_datawrapper,2023,2022,Mittelwert,Maximum,Minimum
2023-01-01,84.28,58.31,65.14545454545454,85.1,51.26
2023-01-02,84.27,58.44,64.61545454545454,84.26,50.93
2023-01-03,83.9,58.3,64.0490909090909,83.66,50.57
2023-01-04,83.67,57.97,63.442727272727275,83.06,50.25
2023-01-05,83.26,57.33,62.79636363636364,82.4,49.9
2023-01-06,82.97,56.64,62.123636363636365,81.46,49.57
2023-01-07,82.76,55.84,61.45181818181818,80.51,49.16
2023-01-08,82.4,55.33,60.805454545454545,79.74,48.53
2023-01-09,81.94,54.73,60.17545454545455,78.99,47.87
2023-01-10,81.36,53.71,59.52454545454545,78.31,47.27
2023-01-11,80.89,52.66,58.86181818181819,77.61,46.69
2023-01-12,80.48,51.64,58.24,77.06,46.05
2023-01-13,80.03,50.52,57.628181818181815,76.34,45.46
2023-01-14,79.67,49.37,56.91545454545455,75.25,44.93
2023-01-15,79.2,48.46,56.192727272727275,74.2,44.32
2023-01-16,78.45,47.67,55.46363636363637,73.13,43.71
2023-01-17,77.58,46.62,54.689090909090915,72.05,43.02
2023-01-18,76.64,45.6,53.86636363636364,70.91,42.36
2023-01-19,75.65,44.76,53.055454545454545,69.7,41.68
2023-01-20,74.54,43.82,52.25909090909091,68.32,41.13
2023-01-21,73.63,42.9,51.42909090909091,66.82,40.58
2023-01-22,72.66,42.04,50.60090909090909,65.3,39.93
2023-01-23,71.65,41.22,49.790000000000006,63.78,39.33
2023-01-24,70.68,40.28,49.00818181818182,62.41,38.81
2023-01-25,69.74,39.32,48.23,61.33,38.17
2023-01-26,68.75,38.34,47.49454545454546,60.43,37.48
2023-01-27,67.72,37.4,46.804545454545455,59.46,36.91
2023-01-28,66.81,36.67,46.85454545454545,58.41,36.41
2023-01-29,65.94,36.18,46.20636363636363,57.27,35.78
2023-01-30,64.96,35.72,45.550909090909094,56.38,35.19
2023-01-31,64.3,34.98,44.91,55.48,34.58
2023-02-01,63.53,34.29,44.31727272727273,55.53,33.83
2023-02-02,62.66,33.66,43.70363636363636,55.3,33.03
2023-02-03,61.82,32.94,43.195454545454545,54.81,32.31
2023-02-04,61.16,32.49,42.49545454545454,54.11,31.62
2023-02-05,60.52,32.23,41.77272727272727,53.13,30.77
2023-02-06,59.43,32.03,41.06090909090909,51.99,29.92
2023-02-07,58.48,31.53,40.35636363636364,51.15,29.11
2023-02-08,57.42,30.97,39.62,50.58,28.21
